data_referencia;cod_ibge;txt_municipio;txt_uf;txt_regiao;cod_empreendimento;txt_nome_empreendimento;txt_af;txt_modalidade;dt_assinatura_contrato;data_nascimento;txt_sexo;Estado Civil;Tipo de Beneficiário;vr_garantia_inicial;vr_subsidio_concessao;vr_renda_familiar_comprovada
20/03/2024;322808;Curitiba;PR;Sul;FAR-001-PR;Residencial FAR-001-PR;Banco do Nordeste;MCMV-Oferta Pública;12/05/2024;19/10/2002;Masculino;separado;Outras Comunidades;R$ 78.950,00;R$ 47.225,00;R$ 11.690,00
21/08/2022;244167;Salvador;BA;Nordeste;FAR-002-BA;Conjunto Habitacional FAR-002-BA;Banco do Nordeste;MCMV-FAR;04/05/2023;11/08/1998;Masculino;casado;Assentados do PNRA;R$ 67.689,00;R$ 42.602,00;R$ 3.244,00
03/05/2021;678858;Curitiba;PR;Sul;FAR-003-PR;Condomínio FAR-003-PR;Banco do Brasil;MCMV-Oferta Pública;23/08/2023;21/10/1996;Masculino;viúvo;Não aplicável;R$ 87.236,00;R$ 45.480,00;R$ 2.213,00
16/12/2017;112500;Rio de Janeiro;RJ;Sudeste;FAR-004-RJ;Residencial FAR-004-RJ;Caixa Econômica Federal;MCMV-Entidades;28/12/2024;04/07/1987;Feminino;separado;Outras Comunidades;R$ 95.606,00;R$ 40.407,00;R$ 2.120,00
11/04/2020;953722;Curitiba;PR;Sul;FAR-005-PR;Residencial FAR-005-PR;Banco do Nordeste;MCMV-Oferta Pública;29/03/2023;21/08/1987;Feminino;viúvo;Extravista;R$ 58.397,00;R$ 48.120,00;R$ 3.898,00
27/05/2023;358042;Rio de Janeiro;RJ;Sudeste;FAR-006-RJ;Conjunto Habitacional FAR-006-RJ;Banco do Nordeste;MCMV-Entidades;21/09/2024;27/10/1993;Feminino;separado;Não aplicável;R$ 88.121,00;R$ 40.026,00;R$ 3.657,00
10/05/2023;934184;São Paulo;SP;Sudeste;FAR-007-SP;Residencial FAR-007-SP;Caixa Econômica Federal;MCMV-FAR;06/12/2023;21/02/1985;Masculino;viúvo;Outras Comunidades;R$ 62.527,00;R$ 44.201,00;R$ 3.236,00
14/11/2021;611538;Salvador;BA;Nordeste;FAR-008-BA;Conjunto Habitacional FAR-008-BA;Caixa Econômica Federal;MCMV-FAR;03/06/2023;21/08/1993;Feminino;casado;Assentados do PNRA;R$ 78.005,00;R$ 43.214,00;R$ 3.423,00
23/05/2023;545928;Salvador;BA;Nordeste;FAR-009-BA;Condomínio FAR-009-BA;Caixa Econômica Federal;MCMV-FAR;26/06/2023;12/10/2004;Masculino;divorciado;Extravista;R$ 60.292,00;R$ 48.090,00;R$ 2.337,00
27/08/2019;817483;Rio de Janeiro;RJ;Sudeste;FAR-010-RJ;Condomínio FAR-010-RJ;Banco do Brasil;MCMV-Entidades;02/04/2025;05/09/1987;Feminino;viúvo;Extravista;R$ 77.033,00;R$ 46.178,00;R$ 4.190,00
