dt_movimento;nu_apf;nu_contrato;no_mutuario;txt_cpf;dt_assinatura;vr_encargo_total_atraso;qt_dias_atraso;pz_amortizacao;pz_decorrido;pz_remanescente;vr_renda_familiar_comprovada;vr_garantia_inicial;dt_nascimento;co_sexo;qt_coobrigados;de_estado_civil;dsc_tipo_contrato;dt_termino_contrato;dsc_situacao_ctr;qt_prestacoes_atraso;vr_saldo_devedor_atual;vr_prestacao;co_municipio_ibge_completo;name_file
25/01/2019;55484954;197201524407;Luana Araujo;18617303212;23/07/2016;0;0;0;120;0;1256,0;24417,4;21/09/1996;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-05-30 00:00:00.000;LIQUIDADO;0;0.0;0;659600;INT039
14/11/2015;32757384;692319915607;Júlia do Nascimento;39506572024;24/12/2025;0;0;0;120;0;400,0;60617,0;18/02/1989;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;227099;INT039
27/07/2017;77428493;326160307158;Luana Araujo;62991504762;10/09/2013;0;0;0;120;0;1256,0;24417,4;21/07/2005;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;525864;INT039
13/04/2023;62690892;663276392622;Júlia do Nascimento;93379160328;02/03/2015;0;0;0;120;0;842,0;58271,0;17/02/1988;2;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-14 00:00:00.000;LIQUIDADO;0;0.0;0;424018;INT039
17/10/2023;91344634;822189068098;Luana Araujo;66875821221;02/02/2019;0;0;0;120;0;1256,0;24417,4;13/11/1986;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;150828;INT039
18/12/2023;26364634;872834502323;Júlia do Nascimento;78102650406;13/07/2025;0;0;0;120;0;706,0;30647,0;11/08/1991;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;584595;INT039
04/09/2017;34138095;546326436308;Daniela Martins;24923537415;24/01/2011;0;0;0;120;0;1509,0;15315,1;11/05/1985;1;0;Casado com comunhÃ£o parcial de bens;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;296176;INT039
27/08/2017;14421584;869134906680;Adriana Silva;56614453696;08/02/2012;0;0;0;120;0;1762,0;6212,9;28/12/1992;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-09 00:00:00.000;LIQUIDADO;0;0.0;0;994725;INT039
12/09/2024;66955766;444753401476;Larissa Sousa;28601107929;15/06/2014;0;0;0;120;0;700,0;63065,0;08/09/1987;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-15 00:00:00.000;LIQUIDADO;0;0.0;0;381339;INT039
12/12/2023;49715606;906698523270;Camila de Carvalho;74455500350;06/12/2020;0;0;0;120;0;2015,0;-2889,4;17/01/1999;1;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-07 00:00:00.000;LIQUIDADO;0;0.0;0;394069;INT039
04/06/2019;36553698;241340110370;Rosa Borges;28250531141;08/03/2024;0;0;0;120;0;2268,0;-11991,6;27/06/1996;2;0;Solteiro;SUBSIDIO_MENSAL_NA_PRESTACAO;2022-03-02 00:00:00.000;LIQUIDADO;0;0.0;0;633555;INT039
